tipo,modelo,marca,ano,tipoVeiculo,dataDeCadastro,cilindrada
caminhao,FMX 440,Volvo,2023,Off-road,2025-05-22,
carro,Ranger,Ford,2017,Picape,2025-04-17,
moto,GSX-S750,Suzuki,2018,Naked,2025-12-01,749
caminhao,Ranger F-4000,Ford,2015,Leve,2025-07-09,
moto,MT-03,Yamaha,2020,Naked,2025-07-19,321
caminhao,Axor 2544,Mercedes-Benz,2017,Carga Pesada,2025-10-28,
carro,Onix,Chevrolet,2021,Hatch,2025-07-27,
moto,Harley-Davidson Iron 883,Harley-Davidson,2019,Custom,2025-05-27,883
caminhao,Constellation 24.280,Volkswagen,2019,Carga Média,2025-04-03,
carro,Fusca,Volkswagen,1996,Clássico,2025-10-13,
carro,Cruze,Chevrolet,2016,Sedan,2025-08-16,
moto,Ninja 400,Kawasaki,2022,Esportiva,2025-03-04,399
carro,Uno,Fiat,2008,Hatch,2025-02-26,
carro,HB20,Hyundai,2023,Hatch,2025-09-13,
moto,Tiger 900,Triumph,2023,Adventure,2025-10-08,888
caminhao,TGM 26.320,MAN,2021,Carga Média,2025-09-30,
carro,Corolla,Toyota,2020,Sedan,2025-11-28,
carro,EcoSport,Ford,2005,SUV,2025-07-08,
carro,Hilux,Toyota,2019,Picape,2025-03-22,
caminhao,FH 540,Volvo,2022,Carga Pesada,2025-11-17,
carro,Civic,Honda,2018,Sedan,2025-12-30,
moto,BMW G310R,BMW,2020,Naked,2025-04-02,313
carro,Compass,Jeep,2022,SUV,2025-05-18,
caminhao,Actros,Mercedes-Benz,2021,Carga Pesada,2025-08-12,
caminhao,Atego 1719,Mercedes-Benz,2020,Carga Média,2025-06-25,
moto,XRE 300,Honda,2017,Trail,2025-01-14,300
carro,Palio,Fiat,2014,Hatch,2025-01-21,
caminhao,Tector 240E28,Iveco,2018,Carga Média,2025-02-14,
moto,FZ25,Yamaha,2019,Street,2025-06-11,249
caminhao,Cargo 1723,Ford,2016,Leve,2025-03-11,
carro,Parati,Volkswagen,2012,Perua,2025-06-10,
moto,CB300,Honda,2013,Esportiva,2025-11-28,300
moto,Bros 160,Honda,2021,Trail,2025-09-22,160
